n_trials,n_test,block,base_bits,glm_bits,mmlpf_bits,glm_sigma,sigma_alpha,sigma_beta,sigma_phi,mean_beta,max_beta,mean_phi,mmlpf_loss_conc,mmlpf_worst_bits,glm_loss_conc,glm_worst_bits,diff_bits,subject_id,seed
579,120,20,0.8124836499949277,0.21990121223846462,0.2342523532624232,0.07043397710876524,0.3594827078595755,0.38328575340118765,0.26517679412937284,21.460684453866737,65.56858669958831,3.049981792485299,0.5480670366401902,3.8255413374373606,0.5846081987016268,3.6156574889076762,-0.014351141023958569,751766,5
579,120,20,0.7894940527625475,0.3936076053268846,1.4740471369109065,0.07043397710876524,0.01666232519370303,0.309048521491291,0.3066414050403725,31.415033204239617,72.94592487024121,2.145014994310127,0.21565785694045989,8.6355308249892,0.4965068292602938,6.747052993189167,-1.0804395315840218,751766,6
579,120,20,0.737158628814034,0.13095925214873827,0.18406587624830426,0.07043397710876524,0.247005354170586,0.3028840483489464,0.2463373213081269,19.51905304074029,59.873990907459685,2.607439147691235,0.41421441582288626,3.3862501233140545,0.6456577277726937,3.7871445401893724,-0.053106624099565986,751766,7
579,120,20,0.7676877733914144,0.19157939579500194,0.22719894393417484,0.07043397710876524,0.286896472446028,0.3969793797909767,0.14119243740501933,40.675976711159535,90.58024332172516,2.7685967852318334,0.4120586636915237,6.041475021903595,0.4466526270490298,4.727928993795982,-0.035619548139172896,751766,8
579,120,20,0.8366752268669811,0.36425055729253886,0.6930650436607791,0.08179374450262582,0.35252262651231414,0.38849758970838494,0.18465301420546482,26.458271276257253,60.07851263457566,2.9062483731389945,0.29107108950939314,6.516739957288934,0.6175262032864505,7.235584409143301,-0.3288144863682403,751766,9
579,120,20,0.7091964756377115,0.2883357422909505,0.3196703745933612,0.08179374450262582,0.20316884872201343,0.37960080682886266,0.07747253814058014,42.182329458776515,73.16574733653052,2.4835250059594096,0.5184861882407416,4.391613008750969,0.6544731884374805,5.0847985002383895,-0.03133463230241068,751766,10
579,120,20,0.9166642449016553,0.3478242557782824,0.3434896836010554,0.07543105395664816,0.1746829030549346,0.26581733442333233,0.3642174047525863,17.911676720922408,42.124065776746654,4.227242649767648,0.5886414872365459,6.637264412155126,0.5843090520912689,6.410479573243137,0.004334572177226992,751766,11
579,120,20,0.7676877733914146,0.266569659929688,1.0392693728173854,0.07043397710876524,0.02566394260343366,0.24262821517969718,0.21345077460727752,20.114366153394204,76.07769331170601,2.2662531387160416,0.2507515814920557,7.881824548003714,0.5197418997854886,6.80896275427753,-0.7726997128876973,751766,12
579,120,20,0.8620884729112047,0.24156956804934346,0.4655074279758072,0.06741653616475557,0.0928868081405736,0.25684997682504734,0.08520161727127412,26.191470384924713,60.994756499818486,1.9082656853943272,0.3637413932505699,6.268310933014562,0.7049292786571195,6.603972471504038,-0.22393785992646373,751766,13
579,120,20,0.7275553226938402,0.36574307662217564,0.3364179754451547,0.07043397710876524,0.1513330587416237,0.3525389230135401,0.34996224255299774,25.646287435361288,79.01031336947136,3.3045030446047376,0.5902075280317749,5.731826109130357,0.5829981724021752,6.486136866112747,0.029325101177020918,751766,14
579,120,20,0.6681589850845217,0.2110574046346689,0.2733572772074933,0.08908734488059973,0.18197957535160744,0.39752428318640587,0.2602166561300349,54.206617488526284,99.95127792297897,3.803043754230322,0.5502939939019955,4.774065275464699,0.7561867843783393,4.712396209869341,-0.062299872572824405,751766,15
579,120,20,0.8887441671186579,0.3555139348514833,0.37740260365769035,0.08616328204742763,0.10867586966470767,0.2802186793731014,0.21264092106617008,34.066868769604625,88.933505063897,2.363943090565175,0.5199300963610155,5.802827541388015,0.5755260448452078,6.790307985005831,-0.021888668806207046,751766,16
579,120,20,0.8124836499949277,0.3228060314820454,0.2898458851522097,0.07543105395664816,0.0010999015632868203,0.22666565177290238,0.28289948167723,14.50382445299038,76.69259220290462,3.3547247204935116,0.6648838685793097,6.76401128178349,0.5762081899388605,6.3680881494406645,0.03296014632983568,751766,17
579,120,20,0.8620884729112046,0.21942331691915945,0.2404407116364052,0.07043397710876524,0.20181175238808244,0.2782103128052337,0.29768933967871125,27.708877599901598,62.54102116571092,3.227215421192519,0.38829782778958144,4.30066090395224,0.587736199725996,6.172178064642576,-0.021017394717245758,751766,18
579,120,20,0.8124836499949276,0.16821296242245048,0.9040738031244587,0.06650648120957715,0.15527003698293296,0.3094478153263818,0.05409633698906907,38.08804157755273,83.44074352226531,1.3547719752927747,0.3300251847608975,8.468364526020148,0.5490834613670185,6.601768980005974,-0.7358608407020082,751766,19
579,120,20,0.800839793683586,0.3625601570427393,0.9269501098189961,0.08908734488059973,0.07787228571707498,0.34955850841231156,0.1822309257258308,33.41165836007624,91.35297000439931,2.6262124483074465,0.33531928195628136,10.010232925756021,0.6784343966737111,8.18998028984049,-0.5643899527762568,751766,20
579,120,20,0.8244279851668501,0.33599499697954854,0.32404547508259873,0.09724954696120812,0.22442857955207118,0.38395640249419993,0.2735072544740678,29.798761286757916,58.96821002482569,3.2639214891928847,0.5204151077748277,3.9594544600458876,0.6135086048323222,6.484703099772811,0.01194952189694981,751766,21
579,120,20,0.7004371657621815,0.2479842184802936,0.24297391918766945,0.07043397710876524,0.007082683001861184,0.21799852214368265,0.23702405344041355,17.159126372220125,61.6601667259192,2.354031705814187,0.7064708311898983,5.2457374464550846,0.605494070570593,4.647695812163268,0.005010299292624143,751766,22
579,120,20,0.6402155717492503,0.24299948367662508,0.2604513192782196,0.0735895906332592,0.20640695340035417,0.3989765775935735,0.19982034431426862,37.39648445497951,86.40576126486452,2.5965431375458605,0.550823333235212,4.513903855112941,0.6481997094797177,4.769773414691998,-0.017451835601594495,751766,23
579,120,20,0.7784441261460987,0.13066178521034683,0.19497635283253512,0.07043397710876524,0.2972380414271535,0.30509969969075007,0.20488827017037348,23.310445532626368,81.53458592948445,2.6654075465728053,0.2917831272470454,3.3908382897301874,0.4185696218079564,2.8250470387796316,-0.06431456762218829,751766,24
